Participant Public ID,Sex,Sex-quantised,Age,IMD Score,Crime Rank,CFC Q1,CFC Q1-quantised,CFC Q2,CFC Q2-quantised,CFC Q3,CFC Q3-quantised,Q3 Reversed,CFC Q4,CFC Q4-quantised,Q4 Reversed,CFC Q5,CFC Q5-quantised,Q5 Reversed,CFC Q6,CFC Q6-quantised,CFC Q7,CFC Q7-quantised,CFC Q8,CFC Q8-quantised,CFC Q9,CFC Q9-quantised,Q9 Reversed,CFC Q10,CFC Q10-quantised,Q10 Reversed,CFC Q11,CFC Q11-quantised,Q11 Reversed,CFC Q12,CFC Q12-quantised,Q12 Reversed,CFC Mean Score,PGG Round 1,PGG Round 2,PGG Round 3,PGG Round 4,PGG Round 5,PGG Mean Contribution
4191,Female,2,22,7477,8474,5,5,4,4,2,2,4,4,4,2,4,4,2,4,4,5,5,4,4,3,3,3,3,3,3,2,2,4,4,4,2,3.5,10,2,10,10,10,8.4
4148,Female,2,19,,,3,3,4,4,2,2,4,4,4,2,3,3,3,3,3,4,4,2,2,4,4,2,2,2,4,4,4,2,3,3,3,3,4,2,9,5,3,4.6
4101,Female,2,19,,,4,4,2,2,4,4,2,5,5,1,2,2,4,4,4,5,5,5,5,3,3,3,2,2,4,4,4,2,2,2,4,3.333333333,5,5,10,10,10,8
4258,Female,2,22,13867,6557,4,4,4,4,2,2,4,2,2,4,4,4,2,5,5,5,5,4,4,2,2,4,2,2,4,2,2,4,2,2,4,4,9,3,10,10,10,8.4
4090,Female,2,20,15620,17339,3,3,3,3,4,4,2,4,4,2,3,3,3,3,3,4,4,3,3,3,3,3,4,4,2,4,4,2,4,4,2,2.666666667,3,1,3,6,7,4
4236,Female,2,34,8308,6209,4,4,5,5,4,4,2,3,3,3,4,4,2,3,3,2,2,3,3,4,4,2,3,3,3,4,4,2,2,2,4,2.916666667,9,9,9,9,9,9
4278,Female,2,19,7110,11888,4,4,2,2,3,3,3,4,4,2,4,4,2,2,2,4,4,3,3,2,2,4,2,2,4,4,4,2,3,3,3,2.916666667,6,5,10,10,4,7
4266,Female,2,19,17295,5977,3,3,4,4,5,5,1,3,3,3,2,2,4,4,4,4,4,2,2,2,2,4,3,3,3,2,2,4,3,3,3,3.25,4,7,8,7,9,7
4194,Female,2,18,16583,6758,4,4,3,3,4,4,2,2,2,4,4,4,2,5,5,5,5,3,3,1,1,5,1,1,5,1,1,5,3,3,3,3.833333333,6,7,9,5,9,7.2
4219,Female,2,27,20041,20262,4,4,2,2,3,3,3,4,4,2,4,4,2,2,2,4,4,3,3,3,3,3,2,2,4,2,2,4,4,4,2,2.916666667,10,2,10,10,5,7.4
4155,Female,2,19,3216,5249,4,4,3,3,2,2,4,2,2,4,3,3,3,2,2,4,4,3,3,2,2,4,2,2,4,3,3,3,3,3,3,3.416666667,5,5,6,8,1,5
4168,Male,1,28,14384,1162,3,3,3,3,4,4,2,4,4,2,4,4,2,3,3,4,4,3,3,2,2,4,2,2,4,4,4,2,3,3,3,2.916666667,2,2,2,2,2,2
4161,Female,2,23,32305,30277,4,4,2,2,4,4,2,4,4,2,4,4,2,2,2,3,3,3,3,3,3,3,4,4,2,4,4,2,3,3,3,2.5,4,4,5,5,10,5.6
4097,Female,2,18,17533,17417,3,3,3,3,4,4,2,4,4,2,4,4,2,4,4,4,4,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,4,4,7,10,10,7
4186,Female,2,18,,,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,4,4,2,4,4,2,4,4,2,2.5,3,5,6,10,10,6.8
4213,Female,2,18,20047,13509,3,3,3,3,2,2,4,3,3,3,3,3,3,4,4,3,3,3,3,2,2,4,2,2,4,2,2,4,2,2,4,3.5,10,2,10,10,10,8.4
4279,Female,2,19,21408,15079,4,4,3,3,4,4,2,3,3,3,4,4,2,4,4,4,4,4,4,2,2,4,3,3,3,3,3,3,2,2,4,3.333333333,7,5,7,4,6,5.8
